CreatedAt,Followers,Friends,Name,StatusesCount,NumLikes,MarketSize,TeamName,TimeSince,MinsBetweenTweetsLast150,2016Attendper,2015Attendper,2014Attendper,2013Attendper,2015Attendance,2014Attendance,2013Attendance,2016WP,2015WP,2014WP,2013WP,2016Capacity,2016AvgPrice,2015Payroll,PercStadiumFill2016,PercStadiumFill2015,PercStadiumFill2014,PercStadiumFill2013
2010-06-24,248502,240,Colorado Rockies,38588,30.4,4.04,Rockies,5 days 18:13:15.000000000,55.288333333333334,29467.0,30948.0,33090.0,34492.0,2506789.0,2680329.0,2793828.0,0.48100000000000004,0.42,0.40700000000000003,0.457,50445.0,23.99,"$96,438,600 ",0.5841411438200019,0.6134998513232233,0.655961938745168,0.6837545842006145
2009-07-02,402490,1403,Chicago White Sox,39424,4.1,4.49,White_Sox,3 days 17:04:28.000000000,35.62977777777778,18213.0,21677.0,20381.0,21832.0,1755810.0,1650821.0,1768413.0,0.679,0.469,0.451,0.389,40615.0,29.55,"$112,889,700 ",0.4484303828634741,0.5337190693093684,0.5018096762279945,0.5375353933275884
2009-07-02,1150273,341,Phillies,21415,4.5,7.63,Phillies,6 days 16:34:06.000000000,64.22733333333333,24807.0,22606.0,29924.0,37190.0,1831080.0,2423852.0,3012403.0,0.5710000000000001,0.389,0.451,0.451,43651.0,41.5,"$103,082,167 ",0.5683031316579231,0.5178804609287302,0.6855283956839476,0.8519850633433369
2009-07-01,197131,2802,Miami Marlins,38213,9.0,4.21,Marlins,3 days 14:43:49.000000000,34.69211111111111,21012.0,21633.0,21386.0,19584.0,1752235.0,1732283.0,1586322.0,0.5379999999999999,0.438,0.475,0.38299999999999995,36742.0,28.31,"$70,031,500 ",0.5718795928365359,0.5887812312884437,0.5820586794404224,0.5330139894398781
2009-07-01,403662,201,#VoteTribe,48392,26.5,3.79,Indians,1 days 22:13:01.000000000,18.486777777777778,14854.0,17361.0,17746.0,19419.0,1388905.0,1437393.0,1572926.0,0.5,0.503,0.525,0.564,37675.0,25.61,"$59,163,766 ",0.39426675514266757,0.46080955540809554,0.47102853351028534,0.5154346383543463
2009-07-01,801509,1064,St. Louis Cardinals,37346,0.6,3.17,Cardinals,2 days 11:39:02.000000000,23.86022222222222,43265.0,43468.0,43712.0,41602.0,3520889.0,3540649.0,3369769.0,0.5,0.608,0.55,0.5920000000000001,48861.0,35.24,"$128,241,500 ",0.8854710300648779,0.889625672826999,0.8946194306297456,0.8514357053682896
2009-07-01,340297,152,Milwaukee Brewers,29952,35.2,2.3,Brewers,2 days 22:22:37.000000000,28.150777777777776,27283.0,31390.0,34536.0,31248.0,2542558.0,2797384.0,2531105.0,0.40700000000000003,0.42,0.506,0.457,41900.0,26.32,"$70,869,500 ",0.651145584725537,0.749164677804296,0.8242482100238664,0.7457756563245823
2009-07-01,371865,486,Houston Astros,47248,3.2,5.94,Astros,1 days 10:28:23.000000000,13.789222222222223,27692.0,26587.0,21628.0,20394.0,2153585.0,1751829.0,1651883.0,0.35700000000000004,0.53,0.43200000000000005,0.315,42060.0,37.25,"$93,256,200 ",0.6583927722301474,0.6321207798383262,0.5142177841179267,0.4848787446504993
2009-05-28,1024081,248,San Francisco Giants,60487,5.9,3.2,Giants,5 days 12:33:30.000000000,53.02333333333333,41497.0,41678.0,41589.0,41087.0,3375882.0,3368697.0,3369106.0,0.517,0.518,0.556,0.469,41915.0,35.76,"$180,018,166 ",0.9900274364785876,0.994345699630204,0.9922223547655971,0.9802457354169152
2009-05-21,350949,2389,Seattle Mariners,81510,17.3,4.65,Mariners,1 days 10:06:38.000000000,13.644222222222222,26521.0,27081.0,25486.0,21747.0,2193581.0,2064334.0,1761546.0,0.593,0.469,0.537,0.43799999999999994,47476.0,28.75,"$130,681,400 ",0.5586190917516218,0.5704145252338023,0.5368186030836634,0.4580630213160334
